	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
1283	Everton	Southampton	1	1	05/05/2018	18	Southampton have three games to save their skins and leaving aside Tuesday’s trip to Swansea for a six-pointer, this is the other one in which they really need a return as they host Manchester City on the final day and that may be too tall an order. Last week’s win against Bournemouth was only their second in 10 league games but it gave the fans hope and Mark Hughes will be looking to capitalise on that during the trip to Goodison, where the atmosphere has been eerily quiet of late. Sam Allardyce, like Hughes another merry-go-round perennial to take over in the dugout since Saints defeated Everton 4-1 in October’s reverse fixture, reckons he has won “the hearts and minds” of the Everton majority with their home performances and insists the dissenters are a vocal minority. Some were evident when Everton won their last home game, against Newcastle, with their only shot on target, but many were more so during the 2-0 win at Huddersfield later that week. With Allardyce already talking about his plans for the close season, some may even welcome the chance to clear their throats and get the banners out if Hughes produces the away win Saints crave. Mark Tallentire	0	0.9546822508176168,-0.054110437631607056
1284	Leicester City	West Ham United	0	2	05/05/2018	18	If there was ever a good time for West Ham to be travelling to the King Power Stadium, then this is surely it. Leicester have won only four of their previous 18 league games, they were booed off in the last home match and go into this fixture off the back of a 5-0 defeat at Crystal Palace with a long injury list. It has not exactly been plain-sailing lately for West Ham either but Andy Carroll is set to be involved after patching up his differences with David Moyes. Stuart James	-1	0.04248914122581482,0.009689658880233765
1285	Stoke City	Crystal Palace	1	2	05/05/2018	18	It is do or die time for Stoke. A fourth successive draw would not be enough: Paul Lambert’s side must win this match if they are to have any chance of going into their final match of the campaign with survival still possible. Crystal Palace, though technically not safe yet, arrive in buoyant mood thanks to last week’s thrashing of Leicester. Paul Doyle	-1	0.9696972370147705,0.9995821118354797
1286	Watford	Newcastle United	2	1	05/05/2018	18	Watford facing Newcastle is certainly not the most tantalising fixture of the weekend but there is still intrigue regarding the future of the respective managers. Javi Gracia has the potential to guide Watford to their best Premier League finish, as they sit level with their previous record in 13th, but their run of seven matches without a win will not have pleased the trigger-happy powers that be. Rafa Benítez has hinted, again, that he is prepared to move on if his masterful season is not rewarded with investment in the squad. Graham Searles	1	0.36068397760391235,-0.9893472194671631
1287	West Brom	Tottenham Hotspur	1	0	05/05/2018	18	West Brom have to win against Tottenham and if successful they must rely on Swansea losing again to avoid relegation for another week. This feels highly unlikely, despite Darren Moore’s positive influence on the Baggies, as West Brom last beat Tottenham at the Hawthorns in 2008. Maurico Pochettino’s side are yet to secure a place in the Champions League next season and will be hungry to edge even closer to another crack at Europe’s elite with victory. Graham Searles	1	-0.9776820540428162,0.9845466017723083
1288	Arsenal	Burnley	5	0	06/05/2018	18	This is the big one in terms of Arsène Wenger’s farewell – his final home game and Arsenal have lots planned, including ‘Merci Arsène’ T-shirts for the fans. Burnley will not play the obliging guests. Were they to win, they could end up finishing sixth and squeezing Arsenal into seventh. Both clubs would enter the Europa League but Arsenal would begin in a qualifier on 26 July – currently the date of their first pre-season friendly against Atlético Madrid in Singapore. David Hytner	1	0.9609211484591166,-0.9988335967063904
1289	Chelsea	Liverpool	1	0	06/05/2018	18	Liverpool will arrive on a high with thoughts already fixed on the Champions League final later this month, but Chelsea could technically draw level on points with the team currently third should they win their next two fixtures. Antonio Conte’s side are clinging to the remote possibility of a top four finish, though the Italian did say Sunday’s game “could be a good opportunity to keep the hope alive”. They have belatedly found some form of sorts, with four wins in a row in all competitions. Liverpool can ill afford to be distracted. Dominic Fifield	1	0.8995910882949829,-0.04312315583229065
1290	Burnley	Bournemouth	1	2	13/05/2018	18	Burnley are looking for their first win in five matches, against Bournemouth, but no one really cares about that at Turf Moor. Three points to see out a memorable season would be nice, but Burnley already have a hugely impressive 54 and have put themselves into Europe for the first time since 1967. No one was expecting that, though as a result Burnley will be expecting interest in Sean Dyche to resurface again over summer. “It’s the price of success,” chairman Mike Garlick said. Paul Wilson	-1	0.2951050400733948,0
1291	Crystal Palace	West Brom	2	0	13/05/2018	18	Two of the division’s form teams meet on the final day, with the occasion little more than a celebration of the two managers. Roy Hodgson’s feat in steering Crystal Palace to safety, despite a chronic injury crisis, having been pointless in mid-October has been remarkable. Darren Moore, even only in his capacity as a caretaker, has mustered 11 points from five matches, claimed the manager of the month award for April and endured relegation on Tuesday. The hope – and it is only a hope as yet – is he is given a chance to take up the reins on a permanent basis. Dominic Fifield	1	0.9996730089187622,0
1292	Liverpool	Brighton	4	0	13/05/2018	18	Complaints over Liverpool’s recent league form have been excessive, given the limited midfield and forward options available to Jürgen Klopp while guiding the club into the Champions League final, but the last day equation is straight-forward on many levels. Preserve an unbeaten home campaign against a Brighton team that has won twice on the road all season and Liverpool are in the Champions League for a second year running. As a side note, Mohamed Salah needs one more goal to become Liverpool’s record scorer in a Premier League campaign. He is currently level with Luis Suárez’s 31 goals in 2013-14. Andy Hunter	1	0.33354928096135456,0.9996480941772461
1293	Manchester United	Watford	1	0	13/05/2018	18	Manchester United’s odd league campaign will have them end in second place whatever the result versus Watford despite José Mourinho’s side rarely exciting or convincing. The visitors arrive safe in 13th and could end as high as 10th should they beat United and, given West Brom’s victory at Old Trafford in April, they may fancy their chances. Jamie Jackson	1	-0.000351637601852417,0
1294	Newcastle United	Chelsea	3	0	13/05/2018	18	The consensus suggests this will be Antonio Conte’s last Premier League game in charge of Chelsea. Can he use it to somehow secure a top-four finish? Newcastle fans must trust this is not Rafael Benítez’s Tyneside swansong. The negotiations between their widely coveted manager and Mike Ashley over extending a contract that has only a year to run remain delicate. Expect the Gallowgate End to, not for the first time, repeatedly sing “Rafa Benítez, we want you to stay.” Chelsea meanwhile are monitoring Newcastle’s much improved centre-half Jamaal Lascelles. He could be key to Benítez’s team ending a run of four straight defeats as they struggle to retain their grip on 10th place. Louise Taylor	1	-0.9842156916856766,0.9160513877868652
